#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
55,Croatia,"1,110,989","+1,142","15,707 ",+5,"1,089,283",+467,"5,999",27,"273,620","3,868","4,731,537","1,165,308","4,060,332 ",Europe,42591,281,1,"1,477"
56,Cuba,"1,097,675",,"8,519 ",,"1,086,730",,"2,426",23,"97,016",753,"12,920,253","1,141,936","11,314,344 ",North America,"101,3281",,,214
57,Lebanon,"1,094,911",,"10,350 ",,"1,074,251",,"10,310",186,"161,701","1,529","4,795,578","708,233","6,771,191 ",Asia,66541,,,"1,523"
58,Lithuania,"1,045,085","+1,516","8,988 ",+6,"997,978","+2,735","38,119",47,"393,646","3,385","8,157,182","3,072,519","2,654,884 ",Europe,32950,571,2,"14,358"
59,Tunisia,"1,038,668",,"28,509 ",,N/A,N/A,N/A,29,"86,282","2,368","4,547,755","377,779","12,038,131 ",Africa,124223,,,"-1,134.31"
60,Slovenia,"990,719",,"6,541 ",,"956,300",,"27,878",32,"476,434","3,146","2,629,203","1,264,377","2,079,445 ",Europe,23181,,,"13,406"
61,Nepal,"978,616",,"11,951 ",,"966,111",,554,,"32,548",397,"5,583,138","185,691","30,066,771 ",Asia,"312,5165",,,18
62,Belarus,"971,649",+899,"6,885 ",+3,"928,536",,"36,228",,"102,887",729,"12,987,175","1,375,206","9,443,805 ",Europe,"101,3721",95,0.3,"3,836"
63,Finland,"920,692",,"3,334 ",,"46,000",,"871,358",33,"165,711",600,"10,512,930","1,892,176","5,555,999 ",Europe,"61,6661",,,"156,832"
64,Bolivia,"903,584",+107,"21,899 ",,"850,086",+655,"31,599",220,"75,578","1,832","2,688,875","224,905","11,955,630 ",South America,135464,9,,"2,643"
65,Uruguay,"894,630",,"7,186 ",,"884,306",,"3,138",29,"255,967","2,056","6,077,462","1,738,852","3,495,101 ",South America,44861,,,898
66,UAE,"894,523",+237,"2,302 ",,"875,602",+486,"16,619",,"88,545",228,"151,396,113","14,985,997","10,102,505 ",Asia,"114,3890",23,,"1,645"
67,Ecuador,"865,263",,"35,508 ",,N/A,N/A,N/A,759,"47,756","1,960","2,470,170","136,334","18,118,525 ",South America,215107,,,"21,297"
68,Costa Rica,"844,892",,"8,357 ",,"825,599",,"10,936",44,"163,211","1,614","4,163,300","804,240","5,176,690 ",North America,66191,,,"2,113"
69,Guatemala,"836,234",,"17,400 ",,"814,383",,"4,451",5,"45,193",940,"4,335,116","234,284","18,503,654 ",North America,"221,0634",,,241
70,Latvia,"811,056","+1,139","5,695 ",+8,"791,297","+2,431","14,064",14,"438,601","3,080","7,114,713","3,847,477","1,849,189 ",Europe,23250,616,4,"7,605"
71,New Zealand,"795,606","+9,548",497 ,+14,"729,800","+12,625","65,309",,"159,054",99,"6,959,067","1,391,229","5,002,100 ",Australia/Oceania,"610,0651","1,909",3,"13,056"
72,Azerbaijan,"792,289",,"9,703 ",,"782,375",,211,,"76,911",942,"6,750,860","655,334","10,301,401 ",Asia,"131,0622",,,20
73,Panama,"767,438",,"8,178 ",,"757,024",,"2,236",9,"173,029","1,844","5,767,195","1,300,291","4,435,310 ",North America,65421,,,504
74,Saudi Arabia,"752,078",,"9,060 ",,"737,748",,"5,270",73,"21,022",253,"41,693,268","1,165,395","35,776,087 ",Asia,"483,9491",,,147
75,Sri Lanka,"662,717",,"16,492 ",,"642,516",,"3,709",,"30,720",764,"6,477,329","300,257","21,572,631 ",Asia,"331,3083",,,172
76,Paraguay,"648,446",,"18,734 ",,"624,673",,"5,039",3,"88,974","2,571","2,615,453","358,869","7,288,046 ",South America,113893,,,691
77,Kuwait,"630,641",,"2,555 ",,"626,843",,"1,243",4,"143,895",583,"7,948,416","1,813,605","4,382,662 ",Asia,"71,7151",,,284
78,Myanmar,"612,406",,"19,434 ",,"591,029",,"1,943",,"11,123",353,"7,798,434","141,642","55,057,295 ",Asia,"902,8337",,,35
79,Palestine,"581,678",,"5,352 ",,"575,613",,713,17,"109,507","1,008","3,078,533","579,564","5,311,807 ",Asia,99922,,,134
80,Dominican Republic,"578,626",,"4,375 ",,"574,132",,119,16,"52,407",396,"3,251,191","294,465","11,041,006 ",North America,"192,5243",,,11
81,Estonia,"565,839",+627,"2,501 ",+3,"498,248","+1,498","65,090",6,"426,045","1,883","3,284,566","2,473,096","1,328,119 ",Europe,25310,472,2,"49,009"
82,Bahrain,"561,065",,"1,473 ",,"555,146",,"4,446",5,"310,588",815,"9,657,213","5,345,938","1,806,458 ",Asia,"31,2260",,,"2,461"
83,Venezuela,"521,618",,"5,697 ",,"514,288",,"1,633",230,"18,436",201,"3,359,014","118,723","28,292,923 ",South America,"544,9668",,,58
84,Moldova,"515,649",,"11,471 ",,"502,191",,"1,987",41,"128,356","2,855","3,188,832","793,771","4,017,321 ",Europe,83501,,,495
85,Egypt,"511,977",,"24,522 ",,"442,182",,"45,273",122,"4,841",232,"3,693,367","34,922","105,759,377 ",Africa,"2074,31329",,,428
86,Libya,"501,834",,"6,429 ",,"490,837",,"4,568",101,"71,312",914,"2,475,203","351,735","7,037,130 ",Africa,"141,0953",,,649
87,Ethiopia,"470,108",,"7,509 ",,"453,586",,"9,013",17,"3,917",63,"4,713,675","39,276","120,015,383 ",Africa,"25515,98325",,,75
88,Mongolia,"469,236",+45,"2,177 ",,"313,256",,"153,803",192,"139,157",646,"4,030,048","1,195,157","3,371,981 ",Asia,"71,5491",13,,"45,612"
89,Cyprus,"461,531",,987 ,,"124,370",,"336,174",60,"377,388",807,"9,477,138","7,749,338","1,222,961 ",Asia,"31,2390",,,"274,885"
90,Armenia,"422,711",+20,"8,621 ",,"410,387",+22,"3,703",,"142,180","2,900","3,005,711","1,010,977","2,973,075 ",Asia,73451,7,,"1,246"
91,Honduras,"421,268",,"10,888 ",,"131,100",,"279,280",105,"41,365","1,069","1,263,329","124,048","10,184,175 ",North America,249358,,,"27,423"
